"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 07월 20일","239,500","241,000","250,000","237,000","223.90K","0.63%"
"2015년 07월 19일","238,000","238,000","238,000","238,000","-","0.00%"
"2015년 07월 17일","238,000","242,000","242,000","233,000","267.10K","-1.04%"
"2015년 07월 16일","240,500","222,500","243,000","220,500","640.90K","10.57%"
"2015년 07월 15일","217,500","220,500","224,000","217,000","111.74K","-0.68%"
"2015년 07월 14일","219,000","220,000","221,000","216,000","208.65K","0.46%"
"2015년 07월 13일","218,000","211,000","219,000","210,000","243.59K","4.06%"
"2015년 07월 12일","209,500","209,500","209,500","209,500","0.08K","0.00%"
"2015년 07월 10일","209,500","214,000","216,000","208,500","124.74K","-1.18%"
"2015년 07월 09일","212,000","212,000","212,500","202,000","197.89K","0.95%"
"2015년 07월 08일","210,000","209,500","218,000","207,500","323.02K","1.94%"
"2015년 07월 07일","206,000","203,500","211,500","200,500","211.46K","3.26%"
"2015년 07월 06일","199,500","203,000","205,000","199,500","130.22K","-4.09%"
"2015년 07월 05일","208,000","208,000","208,000","208,000","-","0.00%"
"2015년 07월 03일","208,000","209,500","214,000","205,500","125.25K","0.97%"
"2015년 07월 02일","206,000","211,500","212,500","206,000","122.89K","-1.67%"
"2015년 07월 01일","209,500","200,500","212,000","200,000","213.60K","5.54%"
"2015년 06월 30일","198,500","198,000","201,000","194,000","160.32K","0.00%"
"2015년 06월 29일","198,500","200,500","207,000","198,000","188.03K","-3.17%"
"2015년 06월 28일","205,000","205,000","205,000","205,000","-","0.00%"
"2015년 06월 26일","205,000","204,000","211,000","200,500","176.77K","0.49%"
"2015년 06월 25일","204,000","199,500","205,500","197,000","179.35K","2.51%"
"2015년 06월 24일","199,000","201,500","203,000","195,500","142.07K","-1.00%"
"2015년 06월 23일","201,000","189,500","213,000","188,000","523.63K","8.65%"
"2015년 06월 22일","185,000","190,000","192,000","184,500","69.32K","-1.33%"
"2015년 06월 19일","187,500","185,500","191,500","184,000","148.10K","2.74%"
"2015년 06월 18일","182,500","187,000","191,000","182,500","124.36K","-1.62%"
"2015년 06월 17일","185,500","186,000","187,000","177,500","239.51K","-0.27%"
"2015년 06월 16일","186,000","187,000","189,000","183,500","99.51K","-1.06%"
"2015년 06월 15일","188,000","189,000","194,500","187,500","101.02K","-1.31%"
"2015년 06월 14일","190,500","190,500","190,500","190,500","0.16K","0.00%"
"2015년 06월 12일","190,500","187,500","192,000","187,500","135.26K","2.42%"
"2015년 06월 11일","186,000","185,000","189,500","183,500","195.22K","2.48%"
"2015년 06월 10일","181,500","191,500","191,500","180,500","218.64K","-4.47%"
"2015년 06월 09일","190,000","192,500","195,000","189,000","112.07K","-1.81%"
"2015년 06월 08일","193,500","192,000","195,500","188,000","107.03K","0.52%"
"2015년 06월 07일","192,500","192,500","192,500","192,500","0.05K","0.00%"
"2015년 06월 05일","192,500","187,500","194,500","186,500","124.49K","2.67%"
