"날짜","종가","오픈","고가","저가","변동"
"2011년 11월 02일","1,122.15","1,123.05","1,133.20","1,118.65","-0.01%"
"2011년 11월 01일","1,122.30","1,112.10","1,122.30","1,109.95","0.89%"
"2011년 10월 31일","1,112.35","1,103.00","1,112.55","1,100.30","0.85%"
"2011년 10월 28일","1,103.00","1,101.40","1,107.70","1,101.40","-0.33%"
"2011년 10월 27일","1,106.60","1,133.90","1,134.30","1,106.60","-2.37%"
"2011년 10월 26일","1,133.50","1,132.40","1,135.15","1,127.90","0.22%"
"2011년 10월 25일","1,131.05","1,129.05","1,131.90","1,123.55","-0.13%"
"2011년 10월 24일","1,132.55","1,146.30","1,146.30","1,132.55","-1.29%"
"2011년 10월 21일","1,147.35","1,147.05","1,153.25","1,142.95","-0.01%"
"2011년 10월 20일","1,147.50","1,135.90","1,147.85","1,133.30","1.19%"
"2011년 10월 19일","1,134.00","1,146.40","1,147.20","1,128.40","-1.37%"
"2011년 10월 18일","1,149.75","1,152.15","1,153.05","1,143.05","0.11%"
"2011년 10월 17일","1,148.50","1,150.40","1,151.30","1,138.40","-0.66%"
"2011년 10월 14일","1,156.10","1,159.00","1,164.70","1,155.60","-0.23%"
"2011년 10월 13일","1,158.75","1,157.90","1,163.50","1,153.90","-0.54%"
"2011년 10월 12일","1,165.00","1,170.40","1,178.00","1,165.00","-0.55%"
"2011년 10월 11일","1,171.50","1,160.40","1,174.15","1,160.40","0.30%"
"2011년 10월 10일","1,167.95","1,176.40","1,177.40","1,167.95","-0.26%"
"2011년 10월 07일","1,171.00","1,181.30","1,185.20","1,171.00","-1.09%"
"2011년 10월 06일","1,183.95","1,182.70","1,193.00","1,181.30","-0.26%"
"2011년 10월 05일","1,187.00","1,190.40","1,195.50","1,185.55","-0.99%"
"2011년 10월 04일","1,198.90","1,201.20","1,208.40","1,188.30","1.56%"
"2011년 10월 03일","1,180.50","1,180.50","1,180.50","1,180.50","-0.05%"
"2011년 09월 30일","1,181.10","1,175.10","1,181.70","1,174.00","0.56%"
"2011년 09월 29일","1,174.55","1,182.85","1,185.85","1,170.85","-0.05%"
"2011년 09월 28일","1,175.10","1,169.60","1,182.40","1,162.60","0.45%"
"2011년 09월 27일","1,169.80","1,178.40","1,187.30","1,159.80","-1.03%"
"2011년 09월 26일","1,182.00","1,173.90","1,199.10","1,168.90","1.42%"
"2011년 09월 23일","1,165.50","1,180.50","1,196.20","1,165.40","-1.22%"
"2011년 09월 22일","1,179.85","1,175.05","1,180.15","1,169.95","2.61%"
"2011년 09월 21일","1,149.85","1,141.40","1,152.90","1,141.40","0.47%"
"2011년 09월 20일","1,144.50","1,144.30","1,156.60","1,139.40","0.40%"
"2011년 09월 19일","1,139.95","1,116.30","1,141.40","1,114.30","2.47%"
"2011년 09월 16일","1,112.50","1,102.10","1,114.00","1,099.50","-0.13%"
"2011년 09월 15일","1,114.00","1,103.25","1,120.45","1,098.55","0.62%"
"2011년 09월 14일","1,107.15","1,098.40","1,110.95","1,092.30","2.78%"
